src,dst
149,54
149,16
149,9
149,7
150,17
150,145
150,75
150,12
150,129
150,122
151,44
151,125
151,12
151,8
151,14
151,110
152,115
152,12
152,77
152,0
152,16
152,98
153,46
153,13
153,6
153,35
153,27
153,81
154,28
154,66
154,147
154,8
154,0
154,135
155,6
155,123
155,19
155,0
155,24
155,64
156,0
156,135
156,67
156,28
156,43
156,7
157,49
157,151
157,44
157,91
157,36
157,35
158,1
158,47
158,49
158,28
158,35
158,106
159,27
159,52
159,13
159,40
159,18
159,44
160,27
160,65
160,8
160,4
160,42
160,19
161,52
161,41
161,10
161,79
161,57
161,8
162,20
162,112
162,132
162,102
162,27
162,57
163,33
163,25
163,11
163,89
163,124
163,28
164,7
164,82
164,10
164,1
164,25
164,43
165,104
165,16
165,89
165,139
165,161
165,2
166,4
166,127
166,55
166,89
166,13
166,49
167,44
167,135
167,80
167,9
167,4
167,76
168,106
168,124
168,132
168,53
168,20
168,153
169,120
169,114
169,36
169,7
169,13
169,88
170,14
170,51
170,164
170,124
170,13
170,26
171,91
171,17
171,55
171,13
171,110
171,170
172,13
172,140
172,170
172,47
172,148
172,105
173,151
173,68
173,96
173,12
173,67
173,39
174,13
174,41
174,119
174,4
174,136
174,12
175,9
175,2
175,10
175,169
175,50
175,30
176,158
176,132
176,44
176,62
176,11
176,104
177,159
177,30
177,6
177,16
177,35
177,116
178,42
178,50
178,37
178,17
178,2
178,102
179,21
179,64
179,33
179,169
179,129
179,7
180,40
180,94
180,19
180,75
180,150
180,10
181,12
181,113
181,73
181,24
181,7
181,158
182,41
182,19
182,11
182,16
182,55
182,25
183,45
183,80
183,38
183,95
183,46
183,52
184,128
184,30
184,91
184,129
184,29
184,17
185,55
185,97
185,122
185,15
185,23
185,104
186,181
186,8
186,45
186,92
186,78
186,16
187,100
187,43
187,0
187,95
187,140
187,16
188,10
188,57
188,45
188,68
188,173
188,165
189,117
189,40
189,54
189,28
189,173
189,42
190,83
190,157
190,100
190,118
190,35
190,126
191,111
191,11
191,96
191,25
191,74
191,26
192,31
192,35
192,14
192,50
192,0
192,65
193,51
193,77
193,13
193,86
193,8
193,129
194,1
194,22
194,111
194,17
194,30
194,8
195,48
195,19
195,37
195,110
195,23
195,99
196,162
196,99
196,78
196,51
196,136
196,25
197,29
197,46
197,52
197,128
197,40
197,41
198,29
198,113
198,6
198,96
198,10
198,61
199,122
199,174
199,5
199,86
199,197
199,9
200,1
200,8
200,108
200,129
200,51
200,11
201,16
201,15
201,41
201,168
201,151
201,13
202,8
202,40
202,1
202,125
202,100
202,161
203,75
203,67
203,68
203,41
203,26
203,88
204,48
204,159
204,115
204,26
204,189
204,131
205,6
205,37
205,16
205,10
205,159
205,18
206,4
206,21
206,63
206,16
206,36
206,25
207,154
207,199
207,102
207,9
207,81
207,23
208,205
208,11
208,13
208,38
208,8
208,12
209,44
209,153
209,151
209,4
209,48
209,88
210,27
210,17
210,39
210,96
210,198
210,88
211,10
211,18
211,115
211,125
211,210
211,9
212,92
212,26
212,9
212,164
212,113
212,8
213,23
213,51
213,131
213,42
213,63
213,150
214,50
214,44
214,113
214,198
214,64
214,13
215,43
215,110
215,81
215,89
215,57
215,112
216,210
216,166
216,65
216,15
216,7
216,8
217,174
217,114
217,12
217,9
217,163
217,20
218,105
218,144
218,52
218,192
218,25
218,169
219,97
219,34
219,164
219,151
219,30
219,46
220,102
220,35
220,37
220,210
220,127
220,96
221,64
221,43
221,8
221,126
221,27
221,12
222,50
222,37
222,220
222,213
222,117
222,71
223,40
223,33
223,60
223,52
223,1
223,29
224,221
224,35
224,108
224,5
224,42
224,205
225,29
225,123
225,150
225,210
225,58
225,120
226,126
226,103
226,13
226,71
226,17
226,208
227,37
227,174
227,21
227,38
227,73
227,132
228,105
228,45
228,112
228,63
228,16
228,82
229,15
229,126
229,6
229,0
229,186
229,218
230,176
230,47
230,7
230,40
230,11
230,8
231,229
231,27
231,88
231,35
231,48
231,50
232,18
232,205
232,64
232,78
232,26
232,53
233,208
233,125
233,1
233,29
233,12
233,117
234,30
234,186
234,6
234,12
234,25
234,26
235,233
235,104
235,13
235,177
235,0
235,28
236,197
236,78
236,38
236,89
236,111
236,85
237,36
237,149
237,114
237,13
237,170
237,6
238,80
238,43
238,166
238,27
238,153
238,32
239,185
239,144
239,131
239,225
239,36
239,7
240,176
240,32
240,149
240,154
240,126
240,3
241,216
241,23
241,1
241,174
241,103
241,42
242,33
242,98
242,85
242,40
242,222
242,217
243,14
243,214
243,16
243,185
243,227
243,65
244,120
244,32
244,37
244,238
244,178
244,24
245,1
245,218
245,126
245,34
245,19
245,24
246,206
246,6
246,0
246,25
246,153
246,129
247,169
247,39
247,139
247,62
247,159
247,28
248,31
248,26
248,40
248,90
248,8
248,34
249,79
249,11
249,4
249,48
249,7
249,196
250,64
250,67
250,6
250,28
250,14
250,246
251,13
251,136
251,2
251,47
251,106
251,18
252,79
252,7
252,48
252,64
252,189
252,63
253,8
253,114
253,55
253,7
253,51
253,10
254,8
254,42
254,20
254,176
254,251
254,169
255,184
255,25
255,110
255,12
255,45
255,11
256,66
256,132
256,187
256,170
256,47
256,186
257,132
257,210
257,196
257,16
257,224
257,151
258,14
258,10
258,166
258,232
258,0
258,146
259,43
259,164
259,0
259,76
259,55
259,30
260,38
260,54
260,9
260,46
260,49
260,195
261,48
261,87
261,20
261,159
261,169
261,100
262,40
262,89
262,212
262,208
262,8
262,47
263,96
263,19
263,87
263,15
263,123
263,111
264,192
264,19
264,195
264,8
264,210
264,145
265,0
265,168
265,42
265,234
265,176
265,4
266,54
266,251
266,0
266,21
266,28
266,19
267,139
267,14
267,240
267,50
267,18
267,217
268,68
268,55
268,86
268,91
268,182
268,167
269,248
269,115
269,26
269,60
269,32
269,68
270,7
270,16
270,237
270,73
270,17
270,157
271,244
271,145
271,19
271,223
271,21
271,173
272,1
272,109
272,77
272,235
272,36
272,110
273,1
273,19
273,199
273,55
273,114
273,138
274,20
274,15
274,70
274,256
274,109
274,76
275,225
275,17
275,25
275,13
275,179
275,10
276,21
276,12
276,22
276,15
276,46
276,266
277,237
277,0
277,1
277,10
277,274
277,206
278,244
278,208
278,54
278,241
278,0
278,188
279,23
279,102
279,11
279,157
279,151
279,89
280,0
280,50
280,118
280,52
280,44
280,231
281,35
281,129
281,150
281,50
281,158
281,32
282,14
282,40
282,93
282,54
282,70
282,10
283,110
283,30
283,190
283,10
283,90
283,174
284,40
284,13
284,267
284,248
284,103
284,60
285,142
285,96
285,6
285,35
285,14
285,83
286,86
286,114
286,131
286,16
286,22
286,59
287,129
287,39
287,279
287,59
287,0
287,168
288,0
288,17
288,47
288,12
288,77
288,209
289,96
289,70
289,2
289,107
289,32
289,44
290,239
290,71
290,35
290,19
290,38
290,21
291,167
291,39
291,9
291,70
291,101
291,25
292,28
292,7
292,1
292,31
292,64
292,221
293,92
293,289
293,57
293,132
293,19
293,201
294,45
294,129
294,176
294,8
294,191
294,181
295,205
295,70
295,18
295,50
295,29
295,288
296,6
296,31
296,72
296,17
296,38
296,144
297,45
297,206
297,136
297,36
297,249
297,182
298,13
298,246
298,262
298,146
298,169
298,132
299,47
299,9
299,139
299,21
299,7
299,170
300,7
300,206
300,96
300,12
300,279
300,46
301,25
301,16
301,68
301,14
301,52
301,150
302,17
302,4
302,20
302,189
302,45
302,7
303,8
303,55
303,125
303,16
303,167
303,20
304,51
304,20
304,35
304,197
304,36
304,17
305,3
305,216
305,113
305,150
305,293
305,249
306,12
306,39
306,32
306,269
306,246
306,35
307,125
307,140
307,101
307,86
307,151
307,303
308,302
308,12
308,168
308,227
308,3
308,6
309,13
309,28
309,173
309,139
309,0
309,122
310,75
310,103
310,10
310,139
310,94
310,48
311,151
311,12
311,198
311,150
311,36
311,45
312,254
312,4
312,192
312,139
312,30
312,259
313,5
313,233
313,26
313,288
313,52
313,30
314,23
314,159
314,106
314,278
314,292
314,173
315,246
315,55
315,201
315,111
315,58
315,8
316,103
316,30
316,216
316,305
316,3
316,76
317,120
317,49
317,29
317,47
317,124
317,83
318,254
318,123
318,312
318,17
318,109
318,63
319,197
319,18
319,282
319,94
319,127
319,61
320,208
320,175
320,280
320,42
320,10
320,135
321,55
321,24
321,158
321,50
321,178
321,259
322,109
322,129
322,221
322,78
322,199
322,18
323,31
323,213
323,44
323,225
323,153
323,0
324,17
324,13
324,144
324,21
324,124
324,18
325,12
325,223
325,29
325,181
325,1
325,97
326,7
326,18
326,64
326,30
326,13
326,50
327,40
327,124
327,158
327,54
327,12
327,208
328,44
328,19
328,10
328,9
328,79
328,55
329,240
329,17
329,283
329,129
329,286
329,35
330,12
330,187
330,142
330,216
330,80
330,0
331,50
331,80
331,20
331,162
331,1
331,25
332,96
332,16
332,180
332,267
332,326
332,109
333,181
333,10
333,6
333,78
333,234
333,75
334,58
334,100
334,63
334,273
334,194
334,25
335,19
335,110
335,71
335,131
335,120
335,105
336,73
336,14
336,3
336,16
336,290
336,155
337,253
337,15
337,300
337,52
337,214
337,10
338,199
338,78
338,35
338,280
338,123
338,153
339,205
339,19
339,30
339,8
339,76
339,294
340,99
340,151
340,154
340,193
340,95
340,7
341,311
341,58
341,328
341,197
341,270
341,12
342,26
342,13
342,71
342,275
342,36
342,103
343,248
343,106
343,164
343,116
343,245
343,319
344,295
344,117
344,176
344,35
344,31
344,58
345,238
345,58
345,39
345,16
345,174
345,38
346,138
346,227
346,244
346,27
346,128
346,36
347,112
347,44
347,40
347,243
347,124
347,187
348,30
348,67
348,4
348,149
348,244
348,150
349,76
349,313
349,237
349,12
349,197
349,282
350,148
350,8
350,289
350,132
350,171
350,23
351,247
351,1
351,37
351,211
351,25
351,11
352,283
352,258
352,26
352,139
352,43
352,93
353,119
353,68
353,31
353,52
353,50
353,346
354,0
354,13
354,82
354,29
354,145
354,5
355,25
355,151
355,70
355,35
355,16
355,216
356,205
356,35
356,16
356,108
356,20
356,18
357,43
357,29
357,112
357,224
357,206
357,299
358,136
358,250
358,13
358,353
358,244
358,324
359,224
359,357
359,10
359,16
359,117
359,227
360,25
360,219
360,42
360,346
360,2
360,155
361,111
361,244
361,26
361,177
361,12
361,40
362,9
362,99
362,288
362,185
362,55
362,245
363,21
363,280
363,308
363,235
363,0
363,48
364,7
364,125
364,170
364,6
364,178
364,32
365,224
365,203
365,263
365,107
365,8
365,3
366,8
366,16
366,3
366,23
366,315
366,218
367,52
367,4
367,59
367,156
367,216
367,70
368,113
368,48
368,27
368,8
368,15
368,9
369,128
369,283
369,69
369,143
369,22
369,71
370,364
370,25
370,304
370,75
370,180
370,54
371,27
371,35
371,42
371,246
371,8
371,328
372,28
372,93
372,302
372,265
372,268
372,26
373,261
373,10
373,154
373,323
373,112
373,9
374,21
374,199
374,29
374,71
374,225
374,300
375,86
375,73
375,357
375,25
375,177
375,191
376,113
376,3
376,300
376,304
376,37
376,6
377,50
377,103
377,27
377,229
377,14
377,8
378,249
378,139
378,271
378,47
378,150
378,30
379,19
379,25
379,273
379,156
379,251
379,26
380,261
380,139
380,217
380,39
380,99
380,96
381,4
381,8
381,50
381,103
381,30
381,169
382,312
382,22
382,6
382,249
382,18
382,346
383,273
383,14
383,92
383,369
383,54
383,77
384,121
384,30
384,43
384,99
384,110
384,175
385,16
385,72
385,305
385,277
385,109
385,383
386,154
386,7
386,113
386,207
386,203
386,76
387,7
387,75
387,44
387,221
387,384
387,15
388,29
388,12
388,14
388,152
388,125
388,117
389,222
389,26
389,70
389,30
389,25
389,120
390,4
390,19
390,348
390,132
390,147
390,32
391,17
391,108
391,112
391,0
391,8
391,192
392,139
392,16
392,361
392,117
392,34
392,37
393,281
393,120
393,36
393,40
393,112
393,119
394,139
394,101
394,96
394,341
394,87
394,146
395,26
395,393
395,57
395,82
395,44
395,0
396,86
396,89
396,54
396,253
396,244
396,343
397,271
397,299
397,10
397,329
397,205
397,107
398,16
398,300
398,3
398,17
398,19
398,25
399,87
399,233
399,47
399,189
399,51
399,349
400,168
400,162
400,44
400,117
400,325
400,37
401,20
401,213
401,110
401,2
401,17
401,0
402,39
402,199
402,146
402,31
402,59
402,84
403,52
403,275
403,364
403,338
403,217
403,311
404,30
404,46
404,157
404,12
404,354
404,292
405,0
405,48
405,144
405,25
405,68
405,83
406,288
406,17
406,57
406,400
406,5
406,83
407,240
407,69
407,332
407,206
407,333
407,2
408,35
408,18
408,13
408,381
408,12
408,19
409,173
409,74
409,11
409,41
409,168
409,97
410,276
410,79
410,360
410,18
410,141
410,139
411,37
411,166
411,65
411,277
411,109
411,70
412,192
412,137
412,326
412,123
412,33
412,139
413,360
413,90
413,46
413,384
413,2
413,139
414,318
414,26
414,117
414,53
414,0
414,25
415,46
415,400
415,55
415,147
415,197
415,325
416,30
416,108
416,199
416,157
416,9
416,232
417,148
417,19
417,35
417,65
417,58
417,140
418,288
418,1
418,74
418,359
418,108
418,405
419,38
419,11
419,9
419,17
419,27
419,52
420,30
420,2
420,419
420,139
420,46
420,280
421,329
421,88
421,25
421,102
421,259
421,347
422,399
422,141
422,117
422,16
422,285
422,220
423,304
423,1
423,333
423,416
423,25
423,54
424,263
424,422
424,13
424,6
424,324
424,63
425,3
425,93
425,26
425,17
425,66
425,143
426,219
426,307
426,234
426,314
426,193
426,289
427,417
427,162
427,326
427,238
427,8
427,20
428,274
428,25
428,375
428,131
428,312
428,189
429,198
429,176
429,338
429,419
429,147
429,95
430,292
430,8
430,132
430,244
430,259
430,35
431,268
431,178
431,47
431,238
431,6
431,16
432,113
432,25
432,70
432,146
432,408
432,31
433,3
433,329
433,372
433,109
433,59
433,111
434,360
434,158
434,298
434,19
434,424
434,292
435,195
435,1
435,371
435,28
435,46
435,258
436,245
436,5
436,6
436,138
436,188
436,265
437,146
437,117
437,330
437,6
437,92
437,154
438,214
438,346
438,6
438,328
438,0
438,114
439,40
439,260
439,255
439,357
439,10
439,381
440,149
440,20
440,35
440,311
440,115
440,244
441,99
441,17
441,395
441,0
441,401
441,205
442,115
442,362
442,60
442,411
442,64
442,63
443,39
443,48
443,331
443,167
443,13
443,221
444,19
444,272
444,43
444,138
444,167
444,14
445,236
445,228
445,377
445,272
445,17
445,52
446,419
446,0
446,355
446,16
446,330
446,301
447,227
447,117
447,224
447,181
447,221
447,340
448,344
448,186
448,358
448,6
448,96
448,102
449,122
449,365
449,270
449,0
449,185
449,44
450,49
450,177
450,176
450,53
450,197
450,193
451,31
451,22
451,259
451,239
451,217
451,120
452,8
452,171
452,112
452,385
452,312
452,428
453,39
453,391
453,302
453,21
453,32
453,14
454,19
454,81
454,224
454,387
454,432
454,30
455,142
455,180
455,300
455,27
455,11
455,47
456,40
456,313
456,9
456,416
456,19
456,440
457,86
457,303
457,215
457,228
457,46
457,144
458,350
458,68
458,143
458,263
458,13
458,12
459,289
459,94
459,9
459,187
459,91
459,38
460,5
460,340
460,362
460,445
460,19
460,73
461,52
461,439
461,244
461,70
461,82
461,277
462,223
462,206
462,7
462,269
462,446
462,160
463,462
463,326
463,26
463,136
463,9
463,422
464,395
464,0
464,217
464,429
464,64
464,345
465,455
465,229
465,39
465,356
465,132
465,329
466,447
466,317
466,182
466,140
466,30
466,15
467,288
467,274
467,13
467,175
467,108
467,27
468,36
468,196
468,149
468,202
468,129
468,377
469,431
469,11
469,119
469,206
469,368
469,218
470,258
470,151
470,22
470,168
470,147
470,376
471,448
471,24
471,99
471,233
471,253
471,287
472,290
472,81
472,74
472,389
472,109
472,146
473,399
473,203
473,217
473,357
473,317
473,249
474,200
474,80
474,196
474,203
474,8
474,167
475,13
475,197
475,18
475,10
475,46
475,148
476,7
476,45
476,28
476,428
476,58
476,5
477,470
477,227
477,452
477,1
477,157
477,48
478,42
478,251
478,110
478,281
478,25
478,81
479,78
479,154
479,254
479,340
479,139
479,1
480,305
480,154
480,46
480,25
480,228
480,30
481,31
481,48
481,65
481,216
481,466
481,105
482,390
482,417
482,12
482,315
482,480
482,31
483,318
483,139
483,263
483,415
483,11
483,17
484,5
484,312
484,132
484,29
484,10
484,442
485,40
485,54
485,169
485,373
485,75
485,374
486,125
486,9
486,244
486,212
486,105
486,12
487,19
487,28
487,16
487,57
487,206
487,89
488,17
488,63
488,408
488,367
488,54
488,266
489,129
489,38
489,221
489,125
489,214
489,349
490,4
490,294
490,7
490,32
490,444
490,416
491,17
491,392
491,186
491,42
491,5
491,117
492,208
492,337
492,392
492,177
492,10
492,9
493,102
493,80
493,306
493,82
493,45
493,139
494,68
494,165
494,187
494,221
494,468
494,256
495,103
495,0
495,112
495,159
495,18
495,358
496,157
496,109
496,14
496,358
496,20
496,44
497,463
497,466
497,29
497,30
497,144
497,20
498,23
498,92
498,198
498,270
498,19
498,353
499,17
499,19
499,472
499,52
499,13
499,481
500,151
500,19
500,27
500,13
500,28
500,99
501,55
501,259
501,127
501,67
501,18
501,426
502,218
502,366
502,55
502,246
502,135
502,58
503,45
503,116
503,17
503,16
503,198
503,72
504,472
504,71
504,376
504,336
504,27
504,43
505,276
505,352
505,447
505,42
505,244
505,416
506,338
506,324
506,265
506,288
506,383
506,8
507,234
507,216
507,30
507,187
507,96
507,263
508,129
508,110
508,52
508,15
508,350
508,6
509,158
509,491
509,33
509,42
509,245
509,113
510,4
510,206
510,109
510,330
510,340
510,141
511,16
511,228
511,30
511,311
511,38
511,231
512,113
512,14
512,10
512,282
512,296
512,280
513,287
513,94
513,256
513,20
513,98
513,169
514,266
514,488
514,293
514,249
514,148
514,18
515,44
515,170
515,33
515,182
515,7
515,98
516,305
516,107
516,117
516,262
516,205
516,212
517,6
517,262
517,304
517,27
517,160
517,10
518,105
518,10
518,250
518,31
518,42
518,154
519,45
519,29
519,8
519,468
519,255
519,208
520,129
520,151
520,401
520,460
520,327
520,106
521,221
521,314
521,13
521,112
521,199
521,38
522,179
522,300
522,0
522,23
522,139
522,437
523,101
523,239
523,9
523,400
523,269
523,463
524,117
524,443
524,309
524,311
524,469
524,28
525,127
525,297
525,161
525,16
525,418
525,175
526,266
526,429
526,500
526,124
526,139
526,17
527,181
527,3
527,268
527,26
527,335
527,161
528,480
528,351
528,54
528,304
528,452
528,213
529,502
529,166
529,129
529,87
529,125
529,18
530,45
530,112
530,114
530,82
530,173
530,6
531,117
531,163
531,23
531,104
531,42
531,321
532,27
532,117
532,287
532,227
532,6
532,136
533,9
533,418
533,260
533,320
533,275
533,352
534,318
534,12
534,40
534,124
534,9
534,408
535,24
535,7
535,470
535,133
535,257
535,96
536,371
536,20
536,88
536,1
536,7
536,95
537,294
537,358
537,7
537,488
537,197
537,143
538,217
538,286
538,117
538,518
538,306
538,83
539,198
539,369
539,9
539,20
539,21
539,454
540,166
540,44
540,13
540,188
540,156
540,120
541,7
541,537
541,341
541,355
541,116
541,81
542,4
542,68
542,497
542,276
542,82
542,173
543,112
543,7
543,170
543,153
543,292
543,38
544,218
544,71
544,114
544,411
544,104
544,20
545,24
545,54
545,45
545,15
545,14
545,62
546,364
546,508
546,486
546,476
546,253
546,388
547,174
547,16
547,333
547,320
547,268
547,111
548,485
548,158
548,479
548,36
548,333
548,98
549,29
549,19
549,349
549,146
549,319
549,312
550,42
550,12
550,38
550,148
550,6
550,265
551,123
551,137
551,83
551,381
551,150
551,53
552,68
552,168
552,487
552,52
552,171
552,93
553,14
553,13
553,9
553,12
553,202
553,125
554,3
554,495
554,379
554,167
554,285
554,520
555,12
555,187
555,307
555,6
555,59
555,8
556,269
556,292
556,12
556,114
556,62
556,119
557,163
557,512
557,16
557,153
557,275
557,199
558,396
558,281
558,17
558,82
558,208
558,504
559,257
559,40
559,64
559,100
559,327
559,76
560,471
560,192
560,142
560,80
560,418
560,167
561,195
561,96
561,310
561,28
561,15
561,51
562,2
562,78
562,457
562,19
562,395
562,10
563,358
563,275
563,202
563,188
563,200
563,18
564,57
564,383
564,346
564,462
564,151
564,11
565,161
565,59
565,39
565,488
565,376
565,12
566,223
566,10
566,370
566,265
566,136
566,205
567,189
567,9
567,20
567,390
567,168
567,16
568,73
568,439
568,48
568,321
568,41
568,13
569,55
569,324
569,8
569,411
569,539
569,9
570,312
570,100
570,173
570,272
570,92
570,464
571,30
571,0
571,196
571,430
571,325
571,103
572,518
572,29
572,391
572,58
572,461
572,458
573,9
573,41
573,239
573,368
573,513
573,537
574,509
574,558
574,165
574,355
574,259
574,56
575,461
575,10
575,523
575,15
575,126
575,76
576,493
576,30
576,119
576,218
576,559
576,45
577,46
577,433
577,293
577,117
577,4
577,387
578,275
578,43
578,211
578,30
578,162
578,561
579,488
579,82
579,170
579,27
579,210
579,29
580,229
580,301
580,333
580,89
580,448
580,61
581,126
581,296
581,227
581,202
581,26
581,73
582,200
582,112
582,83
582,537
582,289
582,248
583,20
583,7
583,93
583,276
583,558
583,470
584,314
584,23
584,10
584,128
584,116
584,118
585,7
585,255
585,288
585,31
585,197
585,282
586,429
586,216
